IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.32,93.1,6.3,Aktif,Menengah,Perempuan,Ya,Tepat Waktu
3.04,100.0,5.7,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.39,65.2,3.1,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.79,88.8,2.5,Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
2.99,74.2,4.6,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.99,76.2,4.0,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.81,74.9,4.9,Tidak Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
3.45,71.6,4.3,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.89,82.6,5.4,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.34,72.0,2.2,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
2.89,85.2,6.0,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
2.89,81.4,3.9,Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.21,79.1,7.1,Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
2.24,71.1,2.0,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
2.32,75.1,6.4,Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
2.85,91.1,4.2,Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.64,88.0,2.5,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.24,70.3,2.2,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.69,83.2,,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.46,91.0,4.6,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.76,62.0,3.8,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.0,88.5,2.7,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.13,74.0,3.3,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.46,88.8,7.6,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.86,72.8,6.3,Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.15,60.3,3.6,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.58,62.5,,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.27,82.6,3.7,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.83,85.1,4.7,Tidak Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
2.97,71.1,1.4,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
2.83,,3.2,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.93,62.1,0.0,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.09,81.2,4.2,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.62,67.5,4.3,Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
3.47,74.2,2.4,Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
2.55,82.6,6.3,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.19,71.7,1.0,Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.22,77.4,0.8,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.5,94.1,4.3,Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.19,75.1,5.2,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.43,92.0,6.8,Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.18,68.4,2.3,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.05,88.4,5.6,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
2.96,99.3,3.9,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.43,52.3,2.3,Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.78,72.4,4.8,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.89,88.9,4.9,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.58,79.6,0.6,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.25,86.5,6.3,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.31,74.8,5.8,Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.25,83.0,2.4,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.93,80.1,4.1,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.8,96.0,4.8,Tidak Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
3.38,85.1,4.1,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.56,86.1,2.6,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.52,77.1,2.2,Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
2.72,76.1,3.3,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.96,76.8,5.4,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.25,86.7,4.6,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.54,76.9,,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
2.88,85.5,5.0,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.02,100.0,0.5,Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.6,92.5,5.9,Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
2.56,78.1,0.3,Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.47,96.4,3.2,Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.71,77.1,1.4,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.07,57.5,0.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.55,69.9,5.2,Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.26,59.6,2.0,Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.81,77.8,4.0,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.26,82.2,,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.79,100.0,4.9,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.08,85.9,3.7,Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.8,79.4,1.1,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
1.92,92.0,5.6,Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.47,55.5,1.8,Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.14,84.8,0.8,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
2.97,91.3,3.0,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.14,64.3,5.7,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.21,95.7,5.4,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.0,86.1,3.0,Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.26,77.0,2.8,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.77,89.6,3.1,Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
2.87,100.0,7.7,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
